[+] El directorio ya está creado...
{"ok":true,"result":{"message_id":40,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649412063,"text":"He sido configurado"}}Fri Apr  8 12:01:07 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:17:28 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":41,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649417639,"text":"Prueba"}}Fri Apr  8 13:18:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:18:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:19:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:19:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:19:54 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":42,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649417774,"text":"<b>Host</b>:        <code>web.stilugames.com</code>\n<b>Tiempo activo</b>:  <code>up 6 hours, 21 minutes</code>\n\n<b>CPU</b>:         <code>0.00 0.00 0.00</code>","entities":[{"offset":26,"length":18,"type":"url"}]}}Fri Apr  8 13:20:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:20:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:21:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:21:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:22:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:22:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:23:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:23:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:23:06 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":45,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649417951,"text":"**Host:**        <code>web.stilugames.com</code>\n<b>Tiempo activo</b>:  <code>up 6 hours, 24 minutes</code>\n\n<b>CPU</b>:         <code>0.00 0.00 0.00</code>","entities":[{"offset":23,"length":18,"type":"url"}]}}Fri Apr  8 13:24:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:24:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:24:54 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":46,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649418051,"text":"*Host:*        <code>web.stilugames.com</code>\n<b>Tiempo activo</b>:  <code>up 6 hours, 26 minutes</code>\n\n<b>CPU</b>:         <code>0.00 0.00 0.00</code>","entities":[{"offset":21,"length":18,"type":"url"}]}}Fri Apr  8 13:25:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:25:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:26:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:26:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:26:32 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":48,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649418142,"text":"@bold*Host:*        <code>web.stilugames.com</code>\n<b>Tiempo activo</b>:  <code>up 6 hours, 28 minutes</code>\n\n<b>CPU</b>:         <code>0.00 0.00 0.00</code>","entities":[{"offset":0,"length":5,"type":"mention"},{"offset":26,"length":18,"type":"url"}]}}Fri Apr  8 13:27:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:27:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:28:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:28:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:29:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:29:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:30:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:30:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:31:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:31:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:31:11 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":49,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649418399,"text":"Host:        web.stilugames.com\nTiempo activo:  up 6 hours, 32 minutes\n\nCPU:         0.00 0.00 0.00","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"}]}}Fri Apr  8 13:32:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:32:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:33:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:33:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:34:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:34:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:35:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:35:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:36:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:36:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:37:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:37:02 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:38:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:38:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:39:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:39:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:40:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:40:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:41:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:41:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:41:10 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:41:35 CEST 2022 Llamada a Robocop...
{"ok":false,"error_code":400,"description":"Bad Request: can't parse entities: Can't find end tag corresponding to start tag b"}Fri Apr  8 13:42:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:42:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:43:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:43:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:43:31 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":50,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649419082,"text":"Host:        web.stilugames.com\nTiempo activo:  up 6 hours, 45 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: ALARMA!! CPU FULL. Revisad lo antes posible","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"},{"offset":100,"length":7,"type":"bold"},{"offset":108,"length":43,"type":"code"}]}}Fri Apr  8 13:44:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:44:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:45:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:45:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:46:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:46:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:47:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:47:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:47:11 CEST 2022 Llamada a Robocop...
{"ok":true,"result":{"message_id":51,"from":{"id":5291565375,"is_bot":true,"first_name":"Robocop","username":"Stilubot"},"chat":{"id":857644731,"first_name":"Juanjo","username":"konguele","type":"private"},"date":1649419285,"text":"Host:        web.stilugames.com\nTiempo activo:  up 6 hours, 48 minutes\n\nCPU:         0.00 0.00 0.00\nStatus: ALARMA!! CPU FULL. Revisad lo antes posible","entities":[{"offset":0,"length":5,"type":"bold"},{"offset":13,"length":18,"type":"code"},{"offset":32,"length":13,"type":"bold"},{"offset":48,"length":22,"type":"code"},{"offset":72,"length":3,"type":"bold"},{"offset":85,"length":14,"type":"code"},{"offset":100,"length":7,"type":"bold"},{"offset":108,"length":43,"type":"code"}]}}Fri Apr  8 13:48:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:48:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:49:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:49:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:50:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:50:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:51:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:51:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:52:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:52:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:52:20 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:53:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:53:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:54:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:54:01 CEST 2022 Llamada a Robocop...
Fri Apr  8 13:55:01 CEST 2022 Llamada a Robocop...
